siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
PRLA,PRLA.AOS.buoy.c0,2017-06-21,2017-06-08,13,DOC,29.97,NA,1
PRLA,PRLA.AOS.buoy.c0,2017-06-26,2017-07-06,10,DOC,31.866666666666667,0.22052966542697452,3
PRLA,PRLA.AOS.buoy.c0,2019-07-26,2019-08-06,11,DOC,35.01,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-27,2019-08-06,10,DOC,35.01,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-30,2019-08-06,7,DOC,35.01,NA,1
PRLA,PRLA.AOS.buoy.c0,2020-06-24,2020-06-09,15,DOC,26.72,NA,1
PRLA,PRLA.AOS.buoy.c0,2020-06-26,2020-06-09,17,DOC,26.72,NA,1
PRLA,PRLA.AOS.buoy.c0,2020-07-02,2020-06-09,23,DOC,26.72,NA,1
