siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
PRLA,PRLA.AOS.buoy.c0,2017-06-21,2017-06-08,13,TOC,34.12,NA,1
PRLA,PRLA.AOS.buoy.c0,2017-06-26,2017-07-06,10,TOC,38.266666666666666,0.4939973009372972,3
PRLA,PRLA.AOS.buoy.c0,2019-07-26,2019-08-06,11,TOC,36.05,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-27,2019-08-06,10,TOC,36.05,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-30,2019-08-06,7,TOC,36.05,NA,1
PRLA,PRLA.AOS.buoy.c0,2020-06-24,2020-06-30,6,TOC,26.24,0.22605309110914518,3
PRLA,PRLA.AOS.buoy.c0,2020-06-26,2020-06-30,4,TOC,26.24,0.22605309110914518,3
PRLA,PRLA.AOS.buoy.c0,2020-07-02,2020-06-30,2,TOC,26.24,0.22605309110914518,3
