siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
FLNT,FLNT.AOS.buoy.c0,2017-09-17,2017-09-14,3,UV Absorbance (280 nm),0.06623333333333334,8.144527815247104e-4,3
FLNT,FLNT.AOS.buoy.c0,2017-09-18,2017-09-14,4,UV Absorbance (280 nm),0.06623333333333334,8.144527815247104e-4,3
FLNT,FLNT.AOS.buoy.c0,2018-09-16,2018-09-19,3,UV Absorbance (280 nm),0.0486,NA,1
FLNT,FLNT.AOS.buoy.c0,2018-09-19,2018-09-19,0,UV Absorbance (280 nm),0.0486,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-08-30,2019-08-13,17,UV Absorbance (280 nm),0.0432,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-09-06,2019-09-17,11,UV Absorbance (280 nm),0.0359,NA,1
