siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
FLNT,2018-09-16T16:01:03Z,2018-09-16T16:00:00Z,2.85,2.565,2.585,2.58,2.598125,2.605,2.63,2018091613-NEON_D03_JERC_DP1_20180916_L007-1_radiance
FLNT,2018-09-19T15:33:35Z,2018-09-19T15:35:00Z,2.16,2.3,2.285,2.285,2.312708333333333,2.3,2.39,2018091912-NEON_D03_JERC_DP1_20180919_L006-1_radiance
