siteID,aop_datetime,sensor_rollavg_datetime,turb5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
SUGG,2018-09-15T16:53:50Z,2018-09-15T16:55:00Z,-1.62,-1.6,-1.58,-1.56,-1.4775,-1.4849999999999999,-1.4649999999999999,2018091513-NEON_D03_OSBS_DP1_20180915_L001-1_radiance
SUGG,2018-09-15T16:02:01Z,2018-09-15T16:00:00Z,-1.56,-1.5150000000000001,-1.5,-1.53,-1.4622916666666668,-1.5,-1.45,2018091513-NEON_D03_OSBS_DP1_20180915_L021-1_radiance
SUGG,2018-10-05T13:52:17Z,2018-10-05T13:50:00Z,-2.59,-2.5999999999999996,-2.61,-2.61,-2.6191666666666666,-2.605,-2.6,2018100513-NEON_D03_OSBS_DP1_20181005_L001-1_radiance
SUGG,2018-10-12T18:19:49Z,2018-10-12T18:20:00Z,-1.94,-1.9249999999999998,-1.955,-1.96,-1.9477083333333334,-1.955,-1.96,2018101214-NEON_D03_OSBS_DP1_20181012_L001-1_radiance
SUGG,2018-10-12T17:44:34Z,2018-10-12T17:45:00Z,-1.92,-1.9249999999999998,-1.935,-1.95,-1.9402083333333333,-1.95,-1.96,2018101214-NEON_D03_OSBS_DP1_20181012_L021-1_radiance
SUGG,2019-04-16T18:29:29Z,2019-04-16T18:30:00Z,1.08,1.0750000000000002,1.0950000000000002,1.11,1.1097916666666667,1.12,1.13,2019041612-NEON_D03_OSBS_DP1_20190416_182747_radiance
SUGG,2019-04-16T18:46:40Z,2019-04-16T18:45:00Z,1.18,1.085,1.0950000000000002,1.11,1.1108333333333333,1.12,1.13,2019041612-NEON_D03_OSBS_DP1_20190416_184534_radiance
