siteID,aop_datetime,sensor_rollavg_datetime,fdom5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
SUGG,2018-09-15T16:53:50Z,2018-09-15T16:55:00Z,182.28,183.385,184.84,185.89,185.255,187.435,187.70999999999998,2018091513-NEON_D03_OSBS_DP1_20180915_L001-1_radiance
SUGG,2018-09-15T16:02:01Z,2018-09-15T16:00:00Z,185.08,186.64,186.655,186.655,186.64854166666666,186.62,187.96,2018091513-NEON_D03_OSBS_DP1_20180915_L021-1_radiance
SUGG,2018-10-05T13:52:17Z,2018-10-05T13:50:00Z,168.83,169.285,169.11,169.12,169.12041666666667,169.135,169.285,2018100513-NEON_D03_OSBS_DP1_20181005_L001-1_radiance
SUGG,2018-10-12T18:19:49Z,2018-10-12T18:20:00Z,215.17,214.86,215.22,215.29000000000002,215.31291666666667,215.33499999999998,215.19,2018101214-NEON_D03_OSBS_DP1_20181012_L001-1_radiance
SUGG,2018-10-12T17:44:34Z,2018-10-12T17:45:00Z,215.31,215.09,215.095,215.10500000000002,215.16375,215.21,215.155,2018101214-NEON_D03_OSBS_DP1_20181012_L021-1_radiance
SUGG,2019-04-16T18:29:29Z,2019-04-16T18:30:00Z,326.01,326.16499999999996,325.845,325.74,325.668125,325.125,324.07000000000005,2019041612-NEON_D03_OSBS_DP1_20190416_182747_radiance
SUGG,2019-04-16T18:46:40Z,2019-04-16T18:45:00Z,328.57,326.125,326,325.76,325.68395833333335,325.235,324.07000000000005,2019041612-NEON_D03_OSBS_DP1_20190416_184534_radiance
