siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2014-05-07,2014-05-13,6,Fe,931,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-20,2014-05-13,7,Fe,931,NA,1
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,Fe,5.326,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,Fe,0.848,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,Fe,0.9253666666666667,0.008779711460710597,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,Fe,0.8764,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,Fe,0.8764,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,Fe,0.8535,NA,1
