siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,UV Absorbance (254 nm),1.5596,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,UV Absorbance (254 nm),3.1486,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,UV Absorbance (254 nm),2.9722,0.04350183904158553,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,UV Absorbance (254 nm),3.0022,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,UV Absorbance (254 nm),3.0022,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,UV Absorbance (254 nm),2.5884,NA,1
