siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
SUGG,2018-09-15T16:53:50Z,2018-09-15T16:55:00Z,43.83,44.29,45.16,45.315,44.939791666666665,46.19,46.475,2018091513-NEON_D03_OSBS_DP1_20180915_L001-1_radiance
SUGG,2018-09-15T16:02:01Z,2018-09-15T16:00:00Z,45.13,46.105000000000004,46.105000000000004,46.105000000000004,45.56375,45.879999999999995,46.655,2018091513-NEON_D03_OSBS_DP1_20180915_L021-1_radiance
SUGG,2018-10-05T13:52:17Z,2018-10-05T13:50:00Z,46.6,45.79,45.864999999999995,45.879999999999995,45.984791666666666,45.97,45.97,2018100513-NEON_D03_OSBS_DP1_20181005_L001-1_radiance
SUGG,2018-10-12T18:19:49Z,2018-10-12T18:20:00Z,31.17,31.21,31.215,31.215,31.215833333333332,31.21,31.26,2018101214-NEON_D03_OSBS_DP1_20181012_L001-1_radiance
SUGG,2018-10-12T17:44:34Z,2018-10-12T17:45:00Z,31.52,31.21,31.235,31.235,31.251666666666665,31.22,31.255000000000003,2018101214-NEON_D03_OSBS_DP1_20181012_L021-1_radiance
SUGG,2019-04-16T18:29:29Z,2019-04-16T18:30:00Z,15.76,15.774999999999999,15.785,15.785,15.843958333333333,15.785,15.76,2019041612-NEON_D03_OSBS_DP1_20190416_182747_radiance
SUGG,2019-04-16T18:46:40Z,2019-04-16T18:45:00Z,15.78,15.77,15.77,15.77,15.825833333333334,15.77,15.75,2019041612-NEON_D03_OSBS_DP1_20190416_184534_radiance
