siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2014-05-07,2014-05-13,6,TOC,53.4,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-20,2014-05-13,7,TOC,53.4,NA,1
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,TOC,33.03,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,TOC,5.363,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,TOC,53.81666666666666,1.3149271209209006,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,TOC,51.83,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,TOC,51.83,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,TOC,5.428,NA,1
