siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2014-05-07,2014-05-13,6,DOC,58.6,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-20,2014-05-13,7,DOC,58.6,NA,1
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,DOC,31.13,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,DOC,5.298,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,DOC,49.983333333333334,0.8752333022305122,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,DOC,51.4,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,DOC,51.4,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,DOC,4.984,NA,1
