siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,UV Absorbance (280 nm),1.0465,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,UV Absorbance (280 nm),2.2267,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,UV Absorbance (280 nm),2.0898,0.03945237635428323,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,UV Absorbance (280 nm),2.1162,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,UV Absorbance (280 nm),2.1162,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,UV Absorbance (280 nm),1.7649,NA,1
