siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
BARC,2018-09-15T15:46:37Z,2018-09-15T15:45:00Z,2.53,2.5599999999999996,2.525,2.4699999999999998,2.6508333333333334,2.53,2.87,2018091513-NEON_D03_OSBS_DP1_20180915_L019-1_radiance
BARC,2018-10-12T17:29:03Z,2018-10-12T17:30:00Z,4.24,4.305,4.734999999999999,4.76,4.750208333333333,4.82,5.4,2018101214-NEON_D03_OSBS_DP1_20181012_L019-1_radiance
BARC,2019-04-16T18:15:19Z,2019-04-16T18:15:00Z,0.17,0.19,0.155,0.13,0.1495121951219512,0.13,0.16,2019041612-NEON_D03_OSBS_DP1_20190416_181303_radiance
