siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
BARC,BARC.AOS.buoy.c0,2014-05-07,2014-05-13,6,DOC,0.28,NA,1
BARC,BARC.AOS.buoy.c0,2014-05-20,2014-05-13,7,DOC,0.28,NA,1
BARC,BARC.AOS.buoy.c0,2016-09-23,2016-10-12,19,DOC,1.621,NA,1
BARC,BARC.AOS.buoy.c0,2017-09-27,2017-10-10,13,DOC,2.491,NA,1
BARC,BARC.AOS.buoy.c0,2018-09-15,2018-09-05,10,DOC,2.3373333333333335,0.03863073042712669,3
BARC,BARC.AOS.buoy.c0,2018-10-12,2018-10-01,11,DOC,2.166,NA,1
BARC,BARC.AOS.buoy.c0,2019-04-16,2019-04-11,5,DOC,2.777,NA,1
