siteID,aop_datetime,sensor_rollavg_datetime,turb5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
BARC,2018-09-15T15:46:37Z,2018-09-15T15:45:00Z,-2.84,-2.575,-2.745,-2.7649999999999997,-2.7214583333333335,-2.77,-2.78,2018091513-NEON_D03_OSBS_DP1_20180915_L019-1_radiance
BARC,2018-10-12T17:29:03Z,2018-10-12T17:30:00Z,-3.88,-3.8449999999999998,-3.835,-3.84,-3.7916666666666665,-3.84,-3.85,2018101214-NEON_D03_OSBS_DP1_20181012_L019-1_radiance
BARC,2019-04-16T18:15:19Z,2019-04-16T18:15:00Z,0.74,0.71,0.715,0.71,0.710625,0.71,0.73,2019041612-NEON_D03_OSBS_DP1_20190416_181303_radiance
