siteID,aop_datetime,sensor_rollavg_datetime,fdom5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
BARC,2018-09-15T15:46:37Z,2018-09-15T15:45:00Z,2.92,2.855,2.835,2.835,2.75625,2.835,2.835,2018091513-NEON_D03_OSBS_DP1_20180915_L019-1_radiance
BARC,2018-10-12T17:29:03Z,2018-10-12T17:30:00Z,6.12,6.109999999999999,6.0649999999999995,6.04,5.764583333333333,6.04,6.01,2018101214-NEON_D03_OSBS_DP1_20181012_L019-1_radiance
BARC,2019-04-16T18:15:19Z,2019-04-16T18:15:00Z,5.55,5.7,5.7,5.7,5.681041666666666,5.7,5.72,2019041612-NEON_D03_OSBS_DP1_20190416_181303_radiance
