siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
BARC,BARC.AOS.buoy.c0,2014-05-07,2014-05-13,6,TOC,0.35,NA,1
BARC,BARC.AOS.buoy.c0,2014-05-20,2014-05-13,7,TOC,0.35,NA,1
BARC,BARC.AOS.buoy.c0,2016-09-23,2016-10-12,19,TOC,1.76,NA,1
BARC,BARC.AOS.buoy.c0,2017-09-27,2017-10-10,13,TOC,2.572,NA,1
BARC,BARC.AOS.buoy.c0,2018-09-15,2018-09-05,10,TOC,2.5343333333333335,0.0402533642486356,3
BARC,BARC.AOS.buoy.c0,2018-10-12,2018-10-01,11,TOC,2.201,NA,1
BARC,BARC.AOS.buoy.c0,2019-04-16,2019-04-11,5,TOC,4.022,NA,1
