siteID,aop_datetime,sensor_rollavg_datetime,fdom5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
PRPO,2019-07-30T16:59:26Z,2019-07-30T17:00:00Z,-0.79,-3.205,-3.23,-3.2649999999999997,-4.185208333333334,-3.27,-3.465,2019073014-NEON_D09_WOOD_DP1_20190730_L042-1_radiance
PRPO,2020-06-24T15:52:29Z,2020-06-24T15:50:00Z,100.14,100.98,100.7,100.55,99.54372340425532,100.26,99.04,2020062413-NEON_D09_WOOD_DP1_20200624_L041-1_radiance
PRPO,2020-06-24T15:41:04Z,2020-06-24T15:40:00Z,100.5,100.72,100.72,100.62,99.73074468085106,100.26,99.05,2020062413-NEON_D09_WOOD_DP1_20200624_L042-1_radiance
