siteID,aop_datetime,sensor_rollavg_datetime,turb5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
PRPO,2019-07-30T16:59:26Z,2019-07-30T17:00:00Z,265.62,249.495,246.85,246,249.26355555555557,245.95999999999998,246.47,2019073014-NEON_D09_WOOD_DP1_20190730_L042-1_radiance
PRPO,2020-06-24T15:52:29Z,2020-06-24T15:50:00Z,5.98,6.17,5.79,6.17,9.422446808510639,6.35,6.62,2020062413-NEON_D09_WOOD_DP1_20200624_L041-1_radiance
PRPO,2020-06-24T15:41:04Z,2020-06-24T15:40:00Z,6.17,5.98,5.74,6.17,7.652659574468085,6.42,6.67,2020062413-NEON_D09_WOOD_DP1_20200624_L042-1_radiance
