siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
PRPO,2019-07-30T16:59:26Z,2019-07-30T17:00:00Z,12.45,12.465,12.465,12.41,12.426041666666666,12.35,12.44,2019073014-NEON_D09_WOOD_DP1_20190730_L042-1_radiance
PRPO,2020-06-24T15:52:29Z,2020-06-24T15:50:00Z,-0.43,-0.21,-1.07,-1.09,-0.8614893617021276,-1.09,-1.06,2020062413-NEON_D09_WOOD_DP1_20200624_L041-1_radiance
PRPO,2020-06-24T15:41:04Z,2020-06-24T15:40:00Z,0.29,-0.28,-1.09,-1.17,-0.9595744680851064,-1.09,-1.03,2020062413-NEON_D09_WOOD_DP1_20200624_L042-1_radiance
