siteID,namedLocation,flightdate,aos_match,days_diff,chla,pheophytin,chl_tot
PRPO,PRPO.AOS.buoy.c0,2019-07-30,2019-07-15,15,53.58,4.24,57.82
PRPO,PRPO.AOS.buoy.c0,2020-06-24,2020-06-22,2,6.75,3.15,9.9
