siteID,aop_datetime,sensor_rollavg_datetime,turb5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
CRAM,2019-06-08T17:19:46Z,2019-06-08T17:20:00Z,0.16,0.225,0.245,0.22,0.23914893617021277,0.21,0.19,2019060813-NEON_D05_UNDE_DP1_20190608_L001-1_radiance
CRAM,2019-06-08T15:42:15Z,2019-06-08T15:40:00Z,0.02,0.18,0.19,0.185,0.21391304347826087,0.16,0.2,2019060813-NEON_D05_UNDE_DP1_20190608_L009-1_radiance
CRAM,2019-06-08T15:34:18Z,2019-06-08T15:35:00Z,0.13,0.18,0.18,0.16999999999999998,0.21282608695652175,0.16,0.2,2019060813-NEON_D05_UNDE_DP1_20190608_L010-1_radiance
CRAM,2020-08-06T15:32:07Z,2020-08-06T15:30:00Z,0.49,0.55,0.55,0.49,0.6214893617021277,0.49,0.51,2020080613-NEON_D05_UNDE_DP1_20200806_L001-1_radiance
CRAM,2020-08-11T18:14:10Z,2020-08-11T18:15:00Z,0.54,0.44999999999999996,0.4,0.44,0.5640425531914893,0.45,0.43,2020081115-NEON_D05_UNDE_DP1_20200811_L001-1_radiance
CRAM,2020-08-11T17:09:26Z,2020-08-11T17:10:00Z,0.54,0.48,0.5,0.47,0.5846808510638298,0.43,0.44,2020081115-NEON_D05_UNDE_DP1_20200811_L010-1_radiance
