siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
CRAM,2019-06-08T17:19:46Z,2019-06-08T17:20:00Z,NA,5.495,5.16,4.85,5.094333333333333,4.529999999999999,4.04,2019060813-NEON_D05_UNDE_DP1_20190608_L001-1_radiance
CRAM,2019-06-08T15:42:15Z,2019-06-08T15:40:00Z,7.44,5.33,4.71,4.64,4.9456410256410255,4.415,3.31,2019060813-NEON_D05_UNDE_DP1_20190608_L009-1_radiance
CRAM,2019-06-08T15:34:18Z,2019-06-08T15:35:00Z,5.06,5.71,4.71,4.54,4.8335897435897435,4.36,3.3,2019060813-NEON_D05_UNDE_DP1_20190608_L010-1_radiance
CRAM,2020-08-06T15:32:07Z,2020-08-06T15:30:00Z,3.47,3,3.23,3.27,3.7395744680851064,3.55,3.82,2020080613-NEON_D05_UNDE_DP1_20200806_L001-1_radiance
CRAM,2020-08-11T18:14:10Z,2020-08-11T18:15:00Z,3.2,3.6550000000000002,3.67,3.76,4.015106382978724,3.885,4.23,2020081115-NEON_D05_UNDE_DP1_20200811_L001-1_radiance
CRAM,2020-08-11T17:09:26Z,2020-08-11T17:10:00Z,4.14,4.109999999999999,4.05,3.82,4.117659574468085,3.72,4.21,2020081115-NEON_D05_UNDE_DP1_20200811_L010-1_radiance
