siteID,aop_datetime,sensor_rollavg_datetime,fdom5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
CRAM,2019-06-08T17:19:46Z,2019-06-08T17:20:00Z,24.15,24.1,24.085,24.085,24.007708333333333,24.085,24.075,2019060813-NEON_D05_UNDE_DP1_20190608_L001-1_radiance
CRAM,2019-06-08T15:42:15Z,2019-06-08T15:40:00Z,24.47,24.41,24.4,24.4,24.330416666666668,24.375,24.375,2019060813-NEON_D05_UNDE_DP1_20190608_L009-1_radiance
CRAM,2019-06-08T15:34:18Z,2019-06-08T15:35:00Z,24.36,24.42,24.41,24.41,24.344375,24.4,24.4,2019060813-NEON_D05_UNDE_DP1_20190608_L010-1_radiance
CRAM,2020-08-06T15:32:07Z,2020-08-06T15:30:00Z,20.14,19.76,20.11,20.11,22.284893617021275,20.14,20.17,2020080613-NEON_D05_UNDE_DP1_20200806_L001-1_radiance
CRAM,2020-08-11T18:14:10Z,2020-08-11T18:15:00Z,19.06,7.9799999999999995,19.08,19.26,18.428936170212765,19.4,19.32,2020081115-NEON_D05_UNDE_DP1_20200811_L001-1_radiance
CRAM,2020-08-11T17:09:26Z,2020-08-11T17:10:00Z,19.85,19.8,19.67,19.53,18.568936170212766,19.445,19.53,2020081115-NEON_D05_UNDE_DP1_20200811_L010-1_radiance
