siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
CRAM,CRAM.AOS.buoy.c0,2017-09-12,2017-11-07,56,DOC,4.057,NA,1
CRAM,CRAM.AOS.buoy.c0,2019-06-08,2019-05-01,38,DOC,4.617,NA,1
